,chord
314,F#:min7(11)
315,F#:min7(9)
316,F#:min9
317,F#:sus4
318,"F:(1,2,5,7)"
319,"F:(1,2,5,b7)"
320,"F:(1,3,#5,b7,#9)"
321,"F:(1,4,5,b7)"
322,"F:(1,5)"
323,F:7
324,F:7(#9)
325,"F:7(#9,b13)"
326,"F:7(*3,4)"
327,"F:7(11,b9)"
328,F:7(b9)
329,F:aug
330,F:dim
331,F:maj
332,F:maj(*5)
333,F:maj(9)
334,F:maj6
335,F:maj6(9)
336,F:maj7
337,"F:maj7(2,*3)"
338,F:maj9
339,F:min
340,F:min(9)
341,F:min6
342,F:min7
343,F:min7(11)
344,F:min9
345,F:sus2
346,F:sus4
347,"G#:(1,5)"
348,G#:7
349,G#:maj
350,G#:maj7
351,G#:min
352,G#:min11
353,G#:min6
354,G#:min7
355,G#:min9
356,G:(1)
357,"G:(1,4,5)"
358,"G:(1,5)"
359,G:7
360,G:7(#11)
361,"G:7(*3,4)"
362,G:7(b13)
363,G:7(b9)
364,G:dim
365,G:maj
366,G:maj(11)
367,G:maj(13)
368,G:maj(9)
369,G:maj6
370,G:maj7
371,G:maj9
372,G:min
373,G:min(9)
374,G:min11
375,G:min7
376,G:min9
377,G:sus2
378,G:sus4
379,Gb:aug(7)
380,Gb:maj
381,Gb:maj(9)
382,Gb:maj6(9)
383,Gb:maj7
384,Gb:maj9
385,Gb:min6
386,Gb:min7
387,Gb:sus2
388,Gb:sus4
389,N
